Date,ScheduledStartTime,ScheduledEndTime,WalkerID
29/04/2023 11:08:02 PM,29/04/2023 11:08:02 PM,29/04/2023 00:08:02 AM,6
07/04/2023 1:02:27 AM,07/04/2023 1:02:27 AM,07/04/2023 02:02:27 AM,6
07/05/2023 5:14:04 AM,07/05/2023 5:14:04 AM,07/05/2023 06:14:04 AM,5
23/05/2023 2:20:11 PM,23/05/2023 2:20:11 PM,23/05/2023 3:20:11 PM,7
24/06/2023 4:52:48 PM,24/06/2023 4:52:48 PM,24/06/2023 5:52:48 PM,5
30/05/2023 10:12:28 AM,30/05/2023 10:12:28 AM,30/05/2023 11:12:28 AM,6
01/05/2023 12:35:48 AM,01/05/2023 12:35:48 AM,01/05/2023 01:35:48 AM,6
02/05/2023 3:14:03 AM,02/05/2023 3:14:03 AM,02/05/2023 04:14:03 AM,6
20/04/2023 2:22:12 AM,20/04/2023 2:22:12 AM,20/04/2023 03:22:12 AM,6
12/05/2023 5:10:50 PM,12/05/2023 5:10:50 PM,12/05/2023 6:10:50 PM,6
01/06/2023 10:43:21 PM,01/06/2023 10:43:21 PM,01/06/2023 11:43:21 PM,5
14/04/2023 10:47:26 AM,14/04/2023 10:47:26 AM,14/04/2023 11:47:26 AM,6
17/04/2023 2:32:36 PM,17/04/2023 2:32:36 PM,17/04/2023 3:32:36 PM,6
18/04/2023 6:59:47 PM,18/04/2023 6:59:47 PM,18/04/2023 7:59:47 PM,6
05/04/2023 8:02:47 AM,05/04/2023 8:02:47 AM,05/04/2023 09:02:47 AM,7
24/05/2023 12:37:20 AM,24/05/2023 12:37:20 AM,24/05/2023 01:37:20 AM,7
20/06/2023 5:58:15 AM,20/06/2023 5:58:15 AM,20/06/2023 06:58:15 AM,6
14/06/2023 5:24:03 PM,14/06/2023 5:24:03 PM,14/06/2023 6:24:03 PM,5
06/05/2023 3:17:34 PM,06/05/2023 3:17:34 PM,06/05/2023 4:17:34 PM,5
25/05/2023 6:45:28 PM,25/05/2023 6:45:28 PM,25/05/2023 7:45:28 PM,5
08/05/2023 11:58:33 AM,08/05/2023 11:58:33 AM,08/05/2023 12:58:33 PM,5
12/05/2023 10:37:37 PM,12/05/2023 10:37:37 PM,12/05/2023 11:37:37 PM,5
01/06/2023 2:09:21 PM,01/06/2023 2:09:21 PM,01/06/2023 3:09:21 PM,6
